uid,asin,title,stars,reviews,price,category,isBestSeller,boughtInLastMonth,Price_per_Review,High_Rating,Log_Price
565715,3594,10648,0.5050043803106029,-0.12148407763823123,-0.22913441301744525,64,False,0,-0.1900990156413943,1,-0.8213756226744822
760489,1320,5792,0.34908750017189366,-0.12148407763823123,0.7384663946582251,212,True,300,0.7973051916854346,1,1.937159709045222
1479130,13712,2102,0.037253739894475196,-0.12148407763823123,-0.22259701143866226,45,False,0,-0.18342781634859767,0,-0.7260599693323594
1623068,6906,13969,0.037253739894475196,-0.12148407763823123,0.35923172907302386,166,False,100,0.4103089207103021,0,1.4800450052984104
2113320,12223,14312,0.7388797005186664,-0.12148407763823123,-0.15722299565083236,111,False,0,-0.11671582342063141,1,-0.07957966137620702
1065558,1301,12831,-0.9762059810071337,-0.12148407763823123,0.22534574473954827,90,False,0,0.2736827591938273,0,1.2510630793213315
856742,12563,893,0.11521217996383015,-0.12148407763823123,0.23502109907614702,89,False,400,0.2835561341471662,0,1.269489436534191
2240773,11715,3237,-3.159042302949061,-0.12148407763823123,-0.12675870429370364,37,False,0,-0.08562803471619913,0,0.12073804041910853
1492859,1894,12074,0.4270459402412479,-0.12148407763823123,-0.2879056532107043,56,False,0,-0.25007309728363597,1,-3.1208969591286833
313134,11195,2999,-3.159042302949061,-0.12148407763823123,-0.11146118459935145,79,False,0,-0.07001742837105503,0,0.2079635088727379
1253228,2833,9102,0.4270459402412479,-0.12148407763823123,-0.22259701143866226,95,False,400,-0.18342781634859767,1,-0.7260599693323594
198366,4064,9376,0.34908750017189366,3.8851600143735503,-0.15722299565083236,208,False,2000,-0.2500452971431601,1,-0.07957966137620702
501531,4692,5153,0.2711290601025394,-0.12148407763823123,-0.15722299565083236,98,False,100,-0.11671582342063141,0,-0.07957966137620702
1835604,12596,6101,0.5829628203799572,-0.12148407763823123,-0.15068559407204937,21,False,0,-0.11004462412783479,1,-0.03307971293692655
1656104,2407,13255,0.4270459402412479,-0.12148407763823123,1.6521336393089359,51,False,0,1.7296720048466911,1,2.5702843948453866
1212071,6657,10827,-0.11866314024423369,-0.12148407763823123,-0.16376039722961536,73,False,0,-0.12338702271342805,0,-0.12834988738449224
879856,803,10237,0.34908750017189366,-0.12148407763823123,-0.1597072082507699,193,False,300,-0.11925087915189413,1,-0.09783302239337509
224432,7684,14407,0.037253739894475196,-0.09892790781247683,1.0979581074755018,11,False,50,-0.19956497092363754,0,2.23554216722142
1920369,7902,13272,-0.6643722207297152,-0.12148407763823123,-0.21821695238087765,139,False,0,-0.17895811282242394,0,-0.6669346073313861
45606,12344,13823,-3.159042302949061,-0.12148407763823123,0.16964708328831712,136,False,0,0.21684414121919993,0,1.1378209085232802
1884531,5898,6837,0.34908750017189366,-0.12148407763823123,-0.17683520038718134,179,False,0,-0.1367294212990213,1,-0.2336714876390441
1477163,2147,2206,0.4270459402412479,-0.12148407763823123,-0.21965518072820994,45,False,0,-0.18042577666683923,1,-0.6859657265419209
